,Word,First,Length
924,aeronaut,a,8.0
925,aeronautic,a,10.0
926,aeronautical,a,12.0
927,aeronautics,a,11.0
928,aeroplane,a,9.0
929,aeroplanes,a,10.0
930,aerosol,a,7.0
931,aerosols,a,8.0
932,aerospace,a,9.0
933,aesop,a,5.0
934,aesthete,a,8.0
935,aesthetes,a,9.0
936,aesthetic,a,9.0
937,aesthetically,a,13.0
938,aestheticism,a,12.0
939,aestheticsy,a,11.0
940,afar,a,4.0
941,affability,a,10.0
942,affable,a,7.0
943,affably,a,7.0
944,affair,a,6.0
945,affairs,a,7.0
946,affect,a,6.0
947,affectation,a,11.0
948,affectations,a,12.0
949,affected,a,8.0
950,affectedly,a,10.0
951,affecting,a,9.0
952,affection,a,9.0
953,affectionate,a,12.0
954,affectionately,a,14.0
955,affections,a,10.0
956,affective,a,9.0
957,affects,a,7.0
958,afferent,a,8.0
959,affidavit,a,9.0
960,affidavits,a,10.0
961,affiliate,a,9.0
962,affiliated,a,10.0
963,affiliates,a,10.0
964,affiliating,a,11.0
965,affiliation,a,11.0
966,affiliations,a,12.0
967,affine,a,6.0
968,affinities,a,10.0
969,affinity,a,8.0
970,affirm,a,6.0
971,affirmation,a,11.0
972,affirmations,a,12.0
973,affirmative,a,11.0
974,affirmatively,a,13.0
975,affirmed,a,8.0
976,affirming,a,9.0
977,affirms,a,7.0
978,affix,a,5.0
979,affixed,a,7.0
980,affixes,a,7.0
981,affixing,a,8.0
982,afflict,a,7.0
983,afflicted,a,9.0
984,afflicting,a,10.0
985,affliction,a,10.0
986,afflictions,a,11.0
987,afflicts,a,8.0
988,affluence,a,9.0
989,affluent,a,8.0
990,afflux,a,6.0
991,afford,a,6.0
992,affordability,a,13.0
993,affordable,a,10.0
994,afforded,a,8.0
995,affording,a,9.0
996,affords,a,7.0
997,afforestation,a,13.0
998,afforested,a,10.0
999,affray,a,6.0
1000,affront,a,7.0
1001,affronted,a,9.0
1002,affronts,a,8.0
1003,afghan,a,6.0
1004,afghani,a,7.0
1005,afghans,a,7.0
1006,afield,a,6.0
1007,afire,a,5.0
1008,aflame,a,6.0
1009,afloat,a,6.0
1010,afoot,a,5.0
1011,aforementioned,a,14.0
1012,aforesaid,a,9.0
1013,aforethought,a,12.0
1014,afraid,a,6.0
1015,afresh,a,6.0
1016,africa,a,6.0
1017,african,a,7.0
1018,africans,a,8.0
1019,afro,a,4.0
1020,afros,a,5.0
1021,aft,a,3.0
1022,after,a,5.0
1023,afterbirth,a,10.0
1024,aftercare,a,9.0
1025,aftereffect,a,11.0
1026,aftereffects,a,12.0
1027,afterglow,a,9.0
1028,afterlife,a,9.0
1029,afterlives,a,10.0
1030,aftermath,a,9.0
1031,afternoon,a,9.0
1032,afternoons,a,10.0
1033,aftershave,a,10.0
1034,aftershocks,a,11.0
1035,aftertaste,a,10.0
1036,afterthought,a,12.0
1037,afterthoughts,a,13.0
1038,afterward,a,9.0
1039,afterwards,a,10.0
1040,aga,a,3.0
1041,again,a,5.0
1042,against,a,7.0
1043,agakhan,a,7.0
1044,agape,a,5.0
1045,agar,a,4.0
1046,agaragar,a,8.0
1047,agave,a,5.0
1048,agaves,a,6.0
1049,age,a,3.0
1050,aged,a,4.0
1051,ageing,a,6.0
1052,ageings,a,7.0
1053,ageism,a,6.0
1054,ageless,a,7.0
1055,agencies,a,8.0
1056,agency,a,6.0
1057,agenda,a,6.0
1058,agendas,a,7.0
1059,agendums,a,8.0
1060,agent,a,5.0
1061,agents,a,6.0
1062,ageold,a,6.0
1063,ages,a,4.0
1064,agglomerated,a,12.0
1065,agglomerating,a,13.0
1066,agglomeration,a,13.0
1067,agglomerations,a,14.0
1068,agglutinative,a,13.0
1069,aggravate,a,9.0
1070,aggravated,a,10.0
1071,aggravates,a,10.0
1072,aggravating,a,11.0
1073,aggravation,a,11.0
1074,aggravations,a,12.0
1075,aggregate,a,9.0
1076,aggregated,a,10.0
1077,aggregates,a,10.0
1078,aggregating,a,11.0
1079,aggregation,a,11.0
1080,aggregations,a,12.0
1081,aggression,a,10.0
1082,aggressions,a,11.0
1083,aggressive,a,10.0
1084,aggressively,a,12.0
1085,aggressiveness,a,14.0
1086,aggressor,a,9.0
1087,aggressors,a,10.0
1088,aggrieved,a,9.0
1089,aggrievedly,a,11.0
1090,aghast,a,6.0
1091,agile,a,5.0
1092,agiler,a,6.0
1093,agility,a,7.0
1094,aging,a,5.0
1095,agings,a,6.0
1096,agio,a,4.0
1097,agitate,a,7.0
1098,agitated,a,8.0
1099,agitatedly,a,10.0
1100,agitates,a,8.0
1101,agitating,a,9.0
